user_agent;uv;pv;pv_per_uv
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";2110;45240;21.44
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";2109;53183;25.22
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";2109;47155;22.36
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";2100;68488;32.61
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";2096;48644;23.21
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";2095;60167;28.72
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";2091;63620;30.43
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";2087;43707;20.94
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";2078;33002;15.88
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";2066;5661;2.74
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";2057;5471;2.66
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";2053;66276;32.28
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";2053;74527;36.30
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";2049;5647;2.76
"mqqbrowser/3.6 (nokia5233;symbianos/9.1 series60/3.0)";2036;18488;9.08
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";2031;63712;31.37
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";2026;43580;21.51
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";2025;61067;30.16
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2a build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";2020;63329;31.35
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";2015;65599;32.56
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";2012;62850;31.24
"dorado wap-browser/1.0.0";2009;16309;8.12
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";2009;39043;19.43
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";2008;64959;32.35
"mqqbrowser/3.6 (nokia5233;symbianos/9.1 series60/3.0)";2008;17600;8.76
"mozilla/5.0 (linux; u; android 4.0.1; zh-cn; mi-one plus build/itl41d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";2000;27722;13.86
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1999;45711;22.87
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";1996;61604;30.86
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1991;41979;21.08
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201";1988;21058;10.59
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1983;33133;16.71
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";1980;60950;30.78
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1979;5941;3.00
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1977;6071;3.07
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1976;34285;17.35
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1975;31247;15.82
"dorado wap-browser/1.0.0";1967;16852;8.57
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1966;48934;24.89
"mozilla/5.0 (iphone; cpu iphone os 6_1_4 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b350 safari/8536.25";1963;42022;21.41
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1956;53652;27.43
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1956;34978;17.88
"mozilla/5.0 (linux; u; android 4.0.1; zh-cn; mi-one plus build/itl41d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1954;24121;12.34
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1948;5001;2.57
"mqqbrowser/3.6 (nokia5233;symbianos/9.1 series60/3.0)";1943;18944;9.75
"dorado wap-browser/1.0.0";1942;16229;8.36
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2a build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1942;53943;27.78
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2a build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1935;62456;32.28
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1930;13486;6.99
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1929;38916;20.17
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";1929;58417;30.28
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1928;6036;3.13
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1928;5354;2.78
"mqqbrowser/3.6 (nokia5233;symbianos/9.1 series60/3.0)";1925;18706;9.72
"mozilla/5.0 (linux; u; android 4.0.1; zh-cn; mi-one plus build/itl41d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1921;24425;12.71
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1911;42043;22.00
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1911;11956;6.26
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/536.26 (khtml, like gecko zh-cn) version/6.0 mobile/10b146 safari/8536.25";1909;39700;20.80
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1906;6287;3.30
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1906;43944;23.06
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1903;7821;4.11
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1903;29326;15.41
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1896;38889;20.51
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1895;7091;3.74
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1894;42537;22.46
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1880;37764;20.09
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1879;54964;29.25
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1874;65976;35.21
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1872;62541;33.41
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1871;73442;39.25
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1865;38128;20.44
"opera/9.80 (android; opera mini/7.8.35426/34.2178; u; zh) presto/2.8.119 version/11.10";1864;56465;30.29
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1859;66636;35.85
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1854;72477;39.09
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1849;28867;15.61
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1843;32178;17.46
"dorado wap-browser/1.0.0";1840;13824;7.51
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.7.8.425 u3/0.8.0 mobile safari/533.1";1835;60078;32.74
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1834;41146;22.44
"dorado wap-browser/1.0.0";1833;16407;8.95
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1830;32319;17.66
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1827;39898;21.84
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1827;36657;20.06
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1827;33239;18.19
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1826;38646;21.16
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1821;40624;22.31
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1817;32697;18.00
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1814;66370;36.59
"dorado wap-browser/1.0.0";1813;14191;7.83
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1810;12073;6.67
"dorado wap-browser/1.0.0";1804;15459;8.57
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1803;31088;17.24
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1803;36410;20.19
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1799;11251;6.25
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1798;52079;28.96
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1798;11244;6.25
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1796;31627;17.61
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1794;64741;36.09
"dorado wap-browser/1.0.0";1792;13869;7.74
"dorado wap-browser/1.0.0";1788;15413;8.62
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1783;34977;19.62
"mozilla/5.0 (linux; u; android 4.0.4; zh-cn; gt-i9300 build/imm76d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";1782;5629;3.16
"dorado wap-browser/1.0.0";1780;15726;8.83
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1779;26427;14.85
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1775;61303;34.54
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1774;12149;6.85
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1772;65868;37.17
"mozilla/5.0 (iphone; cpu iphone os 7_0_6 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b651 safari/9537.53";1772;27000;15.24
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201 qq/4.7.1.474";1770;15038;8.50
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1769;26276;14.85
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1768;12817;7.25
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1767;35990;20.37
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201 qq/4.7.1.474";1763;12801;7.26
"mozilla/5.0 (linux; u; android 4.3; zh-cn; hm 1sc build/jls36c) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1763;60250;34.17
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1762;32651;18.53
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1762;32037;18.18
"mozilla/5.0 (iphone 5sglobal; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1754;32185;18.35
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1753;12961;7.39
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1752;11123;6.35
"mozilla/5.0 (iphone; cpu iphone os 7_0_6 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b651 safari/9537.53";1751;25559;14.60
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1750;35644;20.37
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1749;62163;35.54
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1749;34794;19.89
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";1749;54146;30.96
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1748;56034;32.06
"mozilla/5.0 (linux; u; android 4.1.2; zh-cn; zte u819 build/jzo54k) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 aphone browser (5.4.1)";1747;3811;2.18
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1745;40399;23.15
"opera/9.80 (android; opera mini/7.8.35426/34.2037; u; zh) presto/2.8.119 version/11.10";1744;59212;33.95
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1743;11581;6.64
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1742;37518;21.54
"e63/symbianos/9.1 series60/3.0";1741;16511;9.48
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1741;35616;20.46
"mozilla/5.0 (ipad; cpu os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";1740;34313;19.72
"qqbrowser (linux; u; zh-cn; htc hero build/frf91)";1739;25081;14.42
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11b554a ucbrowser/9.6.7.431 mobile";1737;47318;27.24
"mozilla/5.0 (ipad; cpu os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";1733;35058;20.23
"dorado wap-browser/1.0.0";1732;14401;8.31
"opera/9.80 (android; opera mini/7.8.35426/34.2037; u; zh) presto/2.8.119 version/11.10";1731;59025;34.10
"opera/9.80 (android; opera mini/7.8.35426/34.2037; u; zh) presto/2.8.119 version/11.10";1730;57820;33.42
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201 qq/4.7.1.474";1728;10194;5.90
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1728;37237;21.55
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) baiduhd/2.5.5 mobile/10a406 safari/8536.25";1727;54994;31.84
"mozilla/5.0 (iphone; cpu iphone os 6_0 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10a403 safari/8536.25";1725;8560;4.96
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1724;33516;19.44
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1724;12472;7.23
"mozilla/5.0 (iphone; cpu iphone os 6_0_1 like mac os x) applewebkit/536.26 (khtml, like gecko) mobile/10a523";1721;11994;6.97
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1721;36245;21.06
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1720;27619;16.06
"nokia6122ccn01.02/symbianos/9.1 series60/3.0";1720;4642;2.70
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201 qq/4.7.1.474";1718;13064;7.60
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1717;33658;19.60
"dorado wap-browser/1.0.0";1715;14308;8.34
"mozilla/5.0 (iphone; cpu iphone os 5_1_1 like mac os x) applewebkit/534.46 (khtml, like gecko) version/5.1 mobile/9b206 safari/7534.48.3";1713;27955;16.32
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1713;35937;20.98
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11b554a ucbrowser/9.6.7.431 mobile";1712;43134;25.20
"mozilla/5.0 (iphone 4s; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/6.0 mqqbrowser/5.1.1 mobile/11d201 safari/8536.25";1708;40321;23.61
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1704;34174;20.06
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; hm note 1td build/jdq39) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";1702;73704;43.30
"mozilla/5.0 (linux; u; android 2.3.4; zh-cn; gt-n7000 build/grj22) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 aphone browser (5.4.1)";1702;4820;2.83
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) mobile/11d201 micromessenger/5.3";1701;12341;7.26
"mozilla/5.0 (linux; u; android 2.3.4; zh-cn; gt-n7000 build/grj22) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 aphone browser (5.4.1)";1701;4829;2.84
"mozilla/5.0 (linux; u; android 2.3.6; zh-cn; gt-s5830i build/gingerbread) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1";1700;34824;20.48
"mozilla/5.0 (linux; u; android 2.3.4; zh-cn; gt-n7000 build/grj22) applewebkit/533.1 (khtml, like gecko) version/4.0 mobile safari/533.1; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 aphone browser (5.4.1)";1700;4866;2.86
"mozilla/5.0 (iphone; cpu iphone os 6_0 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10a403 safari/8536.25";1697;8445;4.98
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; 2013022 build/hm2013022) applewebkit/533.1 (khtml, like gecko) version/4.0 ucbrowser/9.8.0.435 u3/0.8.0 mobile safari/533.1";1694;61009;36.01
